门类,门类名称,大类,类别名称,说明
A,农、林、牧、渔业,,,  本门类包括01～05大类
A,农、林、牧、渔业,1,农业,  指对各种农作物的种植
A,农、林、牧、渔业,2,林业,　
A,农、林、牧、渔业,3,畜牧业,
A,农、林、牧、渔业,4,渔业,
A,农、林、牧、渔业,5,农、林、牧、渔服务业,  指为了获得各种畜禽产品而从事的动物饲养、捕捉活动
B,采矿业,,,  本门类包括06～12大类，采矿业指对固体（如煤和矿物）、液体（如原油）或气体（如天然气）等自然产生的矿物的采掘；包括地下或地上采掘、矿井的运行，以及一般在矿址或矿址附近从事的旨在加工原材料的所有辅助性工作，例如碾磨、选矿和处理，均属本类活动；还包括使原料得以销售所需的准备工作；不包括水的蓄集、净化和分配，以及地质勘查、建筑工程活动
B,采矿业,6,煤炭开采和洗选业,  指对各种煤炭的开采、洗选、分级等生产活动；不包括煤制品的生产和煤炭勘探活动                                                           
B,采矿业,7,石油和天然气开采业,  指在陆地或海洋，对天然原油、液态或气态天然气的开采，对煤矿瓦斯气（煤层气）的开采；为运输目的所进行的天然气液化和从天然气田气体中生产液化烃的活动，还包括对含沥青的页岩或油母页岩矿的开采，以及对焦油沙矿进行的同类作业
B,采矿业,8,黑色金属矿采选业,　
B,采矿业,9,有色金属矿采选业,  指对常用有色金属矿、贵金属矿，以及稀有稀土金属矿的开采、选矿活动
B,采矿业,10,非金属矿采选业,　
B,采矿业,11,开采辅助活动,  指为煤炭、石油和天然气等矿物开采提供的服务
B,采矿业,12,其他采矿业,　
C,制造业,,,"  本门类包括13～43大类，指经物理变化或化学变化后成为新的产品，不论是动力机械制造，还是手工制作；也不论产品是批发销售，还是零售，均视为制造
  建筑物中的各种制成品、零部件的生产应视为制造，但在建筑预制品工地，把主要部件组装成桥梁、仓库设备、铁路与高架公路、升降机与电梯、管道设备、喷水设备、暖气设备、通风设备与空调设备，照明与安装电线等组装活动，以及建筑物的装置，均列为建筑活动
  本门类包括机电产品的再制造，指将废旧汽车零部件、工程机械、机床等进行专业化修复的批量化生产过程，再制造的产品达到与原有新产品相同的质量和性能"
C,制造业,13,农副食品加工业,  指直接以农、林、牧、渔业产品为原料进行的谷物磨制、饲料加工、植物油和制糖加工、屠宰及肉类加工、水产品加工，以及蔬菜、水果和坚果等食品的加工
C,制造业,14,食品制造业,　
C,制造业,15,酒、饮料和精制茶制造业,　
C,制造业,16,烟草制品业 ,　
C,制造业,17,纺织业,　
C,制造业,18,纺织服装、服饰业,　
C,制造业,19,皮革、毛皮、羽毛及其制品和制鞋业,　
C,制造业,20,木材加工和木、竹、藤、棕、草制品业,　
